U,NRG,Julia,Quanty
0.0,1.0,1.0,1.0
0.2,0.987,0.9922390066104227,0.9875212706334834
0.4,0.9492,0.9595953804962242,0.9511562132701256
0.6,0.8897,0.9017582006793968,0.8938772085909222
0.8,0.8132,0.8229690762029553,0.819931387668255
1.0,0.7249,0.7392621404622386,0.7342664647043877
1.2,0.6302,0.6473261035538008,0.6418948180771559
1.4,0.5337,0.5535668959727296,0.5471631822365874
1.6,0.4393,0.4614327055859687,0.4538922260405603
1.8,0.3499,0.3734111441690683,0.36499614787101
2.0,0.2672,0.2919537319441048,0.28295962256307877
2.2,0.1929,0.2250046380181627,0.20779971480395676
2.4,0.1276,0.1583768907542058,0.1412849133108009
2.6,0.072,0.09527306776113836,0.08352519880817713
2.8,0.025,0.04444963770191178,0.03490921927941253
