locations,weights
-15.379874268299925,1.0485708342898726e-15
-15.379813293487345,1.2342946958721778e-15
-15.300087176478964,7.73317726503084e-16
-15.30007741258915,2.193110839699356e-15
-15.27332232624802,1.1744361141452976e-14
-15.24673261190391,1.6422249784459903e-15
-15.03332779717516,1.1061000208030598e-15
-15.00642365352164,3.2096641417669776e-15
-14.921040664298484,5.62970953831646e-16
-14.88767280465891,7.321347816255772e-16
-14.65093652302115,9.75414747388811e-16
-14.59483962070663,7.281354042012748e-16
-14.50791462141092,2.4404557428458617e-15
-14.48452394386067,7.782111886355398e-16
-14.466303524401376,7.751605220245806e-15
-14.45736613585947,6.029459673894417e-16
-14.34314592795315,1.1414001535386107e-15
-14.336318753948484,2.8149526873275176e-15
-14.23255201900251,1.4523008645383012e-14
-14.203609799356926,6.002210194564818e-16
-14.15905148073383,2.2018188005131488e-14
-14.114917798170755,9.244067885736527e-14
-14.106016045534824,1.2656260360194712e-14
-13.988382839680074,1.7937442899645133e-14
-13.907425040825535,4.738522194197277e-15
-13.87718115795794,1.4810621442118625e-14
-13.83902050822095,1.2360949517991972e-14
-13.78264657281193,2.2625150977468608e-14
-13.69721473347357,2.7336389476664775e-14
-13.676246088594285,1.4892131854876549e-13
-13.59968322169526,3.383287285707058e-14
-13.56794295641949,1.239878304676412e-15
-13.49557619567186,3.34161054011447e-14
-13.42900523089724,4.574337030423955e-15
-13.399436925234696,5.09777187237601e-14
-13.32423475231369,4.8968383340882776e-14
-13.277434440084795,5.46308209566318e-15
-13.26583609021933,3.965272603017105e-14
-13.15104661592576,3.7815954158372e-14
-13.119936304925504,1.1409821642126115e-13
-13.035902314154555,2.2121111670955173e-14
-13.013554619911515,8.412453760701965e-13
-12.935270880379045,9.404092145374955e-14
-12.884888821158055,4.1251119132111727e-13
-12.8224472407763,2.1647816074982557e-13
-12.769071891227474,3.04794001267141e-15
-12.698827489726625,8.394302769645987e-14
-12.62967080217923,3.0336643175451576e-13
-12.54609901379158,3.9909072982004225e-13
-12.52212154580905,5.000414299832617e-13
-12.42741193889074,1.3972623803216158e-13
-12.368404828696075,1.786772885276146e-13
-12.284921438670265,6.906650441523673e-14
-12.24993978529433,3.2136541108472426e-13
-12.148171961427664,6.49428632034805e-14
-12.08154389407932,8.80432938717567e-13
-11.997760847108605,4.547752688511415e-12
-11.985140236866705,2.6382044148407476e-13
-11.863442878238255,5.231038178580055e-12
-11.854361999476525,3.409898208664015e-13
-11.74804081762583,1.6726192241674942e-12
-11.68433721399621,2.789094184602985e-12
-11.62766372129162,6.087399393419863e-13
-11.565545829542454,1.25039777087023e-12
-11.477856562986975,1.1388803252522027e-12
